@relation vote.symbolic

@attribute handicapped-infants {y,n,x}
@attribute water-project-cost-sharing {y,n,x}
@attribute adoption-of-the-budget-resolution {y,n,x}
@attribute physician-fee-freeze {y,n,x}
@attribute el-salvador-aid {y,n,x}
@attribute religious-groups-in-schools {y,n,x}
@attribute anti-satellite-test-ban {y,n,x}
@attribute aid-to-nicaraguan-contras {y,n,x}
@attribute mx-missile {y,n,x}
@attribute immigration {y,n,x}
@attribute synfuels-corporation-cutback {y,n,x}
@attribute education-spending {y,n,x}
@attribute superfund-right-to-sue {y,n,x}
@attribute crime {y,n,x}
@attribute duty-free-exports {y,n,x}
@attribute export-administration-act-south-africa {y,n,x}
@attribute class {republican, democrat}

@data
n,y,y,x,y,y,n,y,n,y,x,n,y,y,x,y,democrat
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n,democrat
y,x,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
n,y,n,y,y,y,x,x,n,n,x,x,y,x,x,x,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,y,x,y,y,n,y,n,y,n,y,y,democrat
y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,x,democrat
y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,x,democrat
y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y,democrat
y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y,democrat
y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n,democrat
n,x,y,n,y,y,n,y,n,n,y,n,n,n,n,x,democrat
y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,x,democrat
n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,x,democrat
y,n,y,n,n,n,y,y,y,x,y,n,n,n,y,x,democrat
x,x,n,n,x,y,x,n,n,n,y,y,n,y,n,x,democrat
y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,democrat
y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
x,x,x,x,n,y,n,y,y,n,n,y,y,n,n,x,republican
y,y,x,x,x,y,n,n,n,n,y,n,y,n,n,y,democrat
y,y,y,x,n,n,n,y,n,n,y,x,n,n,y,y,democrat
y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y,democrat
y,y,n,n,y,x,n,n,n,n,y,n,y,y,n,y,democrat
n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y,democrat
n,y,n,y,x,y,n,n,n,y,n,y,y,y,n,n,republican
n,y,n,y,y,y,n,x,n,n,x,x,x,y,n,x,republican
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
x,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,x,y,n,n,republican
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y,democrat
n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,democrat
y,n,y,n,n,y,y,y,y,n,n,y,x,y,y,y,democrat
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y,democrat
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
y,y,y,y,y,y,y,y,n,y,x,x,x,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
n,y,y,n,n,y,y,y,x,y,n,n,n,n,n,y,democrat
y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y,democrat
y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y,republican
n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y,democrat
n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y,democrat
n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
n,y,y,n,n,x,y,y,y,y,y,n,x,y,y,y,democrat
n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,x,democrat
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,republican
x,x,x,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
y,n,y,n,x,n,y,y,y,y,n,y,n,x,y,y,democrat
n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y,republican
n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
n,x,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
n,n,n,y,y,y,x,x,x,x,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,x,n,republican
